Id_Vente;Date_vente;Valeur_fonciere;Id_bien
2020-000532;2020-01-07;59000;532
2020-000533;2020-01-07;66820;533
2020-000534;2020-01-07;51000;534
2020-000535;2020-01-07;257965;535
2020-000536;2020-01-07;150000;536
2020-000537;2020-01-07;172000;537
2020-000538;2020-01-07;75000;538
2020-000539;2020-01-07;140000;539
2020-000540;2020-01-07;169600;540
2020-000541;2020-01-07;12000;541
2020-000542;2020-01-07;74900;542
2020-000543;2020-01-07;162000;543
2020-000544;2020-01-07;88000;544
2020-000545;2020-01-07;87000;545
2020-000546;2020-01-07;361000;546
2020-000547;2020-01-07;218000;547
2020-000548;2020-01-07;159000;548
2020-000549;2020-01-07;107000;549
2020-000550;2020-01-07;82500;550
2020-000551;2020-01-07;123000;551
2020-000552;2020-01-07;97000;552
2020-000553;2020-01-07;39000;553
2020-000554;2020-01-07;34450;554
2020-000555;2020-01-07;80300;555
2020-000556;2020-01-07;102000;556
2020-000557;2020-01-07;92600;557
2020-000558;2020-01-07;59000;558
2020-000559;2020-01-07;84500;559
2020-000560;2020-01-07;111800;560
2020-000561;2020-01-07;51500;561
2020-000562;2020-01-07;73773,58;562
2020-000563;2020-01-07;166450;563
2020-000564;2020-01-07;165000;564
2020-000565;2020-01-07;371500;565
2020-000566;2020-01-07;150400;566
2020-000567;2020-01-07;204620;567
2020-000568;2020-01-07;118400;568
2020-000569;2020-01-07;216000;569
2020-000570;2020-01-07;233000;570
2020-000571;2020-01-07;60000;571
2020-000572;2020-01-07;123000;572
2020-000573;2020-01-07;144310;573
2020-000574;2020-01-07;76400;574
2020-000575;2020-01-07;69000;575
2020-000576;2020-01-07;128420;576
2020-000577;2020-01-07;80750;577
2020-000578;2020-01-07;196400;578
2020-000579;2020-01-07;57000;579
2020-000580;2020-01-07;602500;580
2020-000581;2020-01-07;283050;581
2020-000582;2020-01-07;192000;582
2020-000583;2020-01-07;61610;583
2020-000584;2020-01-07;86980;584
2020-000585;2020-01-07;84800;585
2020-000586;2020-01-07;253000;586
2020-000587;2020-01-07;56500;587
2020-000588;2020-01-07;45600;588
2020-000589;2020-01-07;245230;589
2020-000590;2020-01-07;119000;590
2020-000591;2020-01-07;92000;591
2020-000592;2020-01-07;179900;592
2020-000593;2020-01-07;98000;593
2020-000594;2020-01-07;127000;594
2020-000595;2020-01-07;167300;595
2020-000596;2020-01-07;143300;596
2020-000597;2020-01-07;52000;597
2020-000598;2020-01-07;92000;598
2020-000599;2020-01-07;137900;599
