Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","100.396342","I","Valeur imputée","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","100.4557","I","Valeur imputée","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","100.515059","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","100.669392","I","Valeur imputée","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","100.823724","I","Valeur imputée","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","100.978057","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","101.13239","I","Valeur imputée","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","101.286722","I","Valeur imputée","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","101.441055","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","101.247062","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","101.863918","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","102.175526","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","101.870277","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","101.450561","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","028","Antigua-et-Barbuda","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","101.037204","X","Ciffre de sources internationales","base year is 2015"
